dataset,BCOEO-Bagging,OverBagging,ANASYN-Bagging,Adaboost,Random Forest,RUSBoost,SMOTEBoost
abalone9-18,0.9453±0.0152,0.9245±0.0073,0.9038±0.0103,0.7000±0.0142,0.8124±0.0337,0.9103±0.0084,0.9095±0.0152
cleveland-0-vs-4,0.9779±0.0001,0.9674±0.0001,0.9512±0.0081,0.9414±0.0097,0.8333±0.0001,0.9617±0.0138,0.9462±0.0044
ecoli-0-1-3-7-vs-2-6,0.9698±0.0027,0.9592±0.0002,0.9575±0.0014,0.9400±0.0599,0.8712±0.0055,0.9575±0.0013,0.9506±0.0084
ecoli-0-1-vs-2-3-5,0.9395±0.0111,0.9358±0.0148,0.9345±0.0160,0.8333±0.0000,0.9149±0.0273,0.9308±0.0197,0.9296±0.0086
ecoli-0-1-vs-5,0.8447±0.0466,0.8301±0.0282,0.8328±0.0395,0.6895±0.0441,0.7750±0.0223,0.7571±0.0354,0.8227±0.0182
